uid,platform,source,rating,text,discovery_relevant,primary_theme,new_category_barrier,purchase_trigger,consideration_level,categories_mentioned,jtbd,external_platform,segment_signal,sentiment
playstore_bc56993a-ae5d-4eb5-af36-6c419adb6d61_424,blinkit,playstore,5.0,I'm just fan of blinkit but I have one suggestion minimum oder price for free delivery 99rs hona chaiye yr because most off time itna kuch oder dena ni hota but delivery ke 30rs lgte h or 199 pr free delivery some time itne product ni chiaye hote ya rs ni lgane hote so please free delivery 99rs ke oder pr bhi do please I have request for this that response it's so good I hope mera suggestions accpat kre or improve kre 99rs pr bhi free delivery kre,False,price_value,none,unknown,unknown,[],none,none,unknown,neutral
playstore_7876c524-d157-4b60-89f7-7827de2e2e5f_427,blinkit,playstore,3.0,Should integrate amazon pay later when you have it in the district should be here too.,False,app_ux,none,unknown,unknown,[],none,amazon,unknown,neutral
playstore_644ecac9-4f76-496b-8b5f-33ca8f480256_443,blinkit,playstore,1.0,"Very disappointing experience with Blinkit. I received a product that appeared to have been opened before delivery and had functional issues. I contacted customer support multiple times, explained the problem clearly, and provided the required details, but I did not receive a proper resolution. Instead of helping me with a return or refund, Blinkit kept repeating the same response and eventually closed my complaint without resolving the issue. I trusted Blinkit to deliver genuine, new products,",False,returns_support,none,unknown,unknown,['other'],none,none,unknown,negative
playstore_1e0b9e9c-1724-48b5-88a9-c19d2cd9d6b0_453,blinkit,playstore,5.0,guys trust me this is the best app ever like you get your dilivery on the given time or even earlier this so good. I am so happy with they're service 😀,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_57499d17-ad19-41d5-8c35-c67e8d4ca4ca_477,blinkit,playstore,5.0,bhoth acha app hai bhoth achhi service bhi h emergency m h kuch bhi ghr baithe mnga skte haii,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_95adde35-9c15-45b9-a8fe-e5f7367b09d9_495,blinkit,playstore,5.0,awesome.. my go to app in emergency,False,habit_convenience,none,urgent_need,low,[],"when I face an emergency need, I want a fast solution, so I can resolve it quickly",none,autopilot_narrow,positive
playstore_c0f65537-5fa2-483e-b58d-073f5ae21539_502,blinkit,playstore,5.0,Good quality,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_079d0645-8beb-4b6b-99c6-8a92e844a87d_503,blinkit,playstore,1.0,"😞 Very disappointing support. I accidentally ordered the wrong electronic item and contacted Blinkit within 5 minutes of delivery. The product was unused and unopened, but there was no return option, no live chat, and no way to contact a real support agent. I even uploaded the requested video, but got no help. Genuine customer issues deserve better support. Please improve your customer service. 💔",False,returns_support,none,unknown,unknown,['electronics_accessories'],none,none,unknown,negative
playstore_c774075e-e087-47b4-b9da-94d9bc4ed010_529,blinkit,playstore,1.0,fraud app....free gift karke gift add karte he list me but free gift nahi milta.bill me bhi free gift karke add karte he .koi fraud kar rahe he ye log.,False,returns_support,none,unknown,unknown,['other'],none,none,unknown,negative
playstore_46a74670-4a1c-45bf-97f5-501ef43a4b53_544,blinkit,playstore,1.0,this app then timing 10 minutes mins minimum 1:30 ( 01 hours 30 minutes) Wait plz. you remember it customer people. I will try lots of time.,False,delivery_ops,none,unknown,unknown,[],none,none,unknown,negative
playstore_b53f05ac-7364-4819-bf06-ee9dfc5aebe2_580,blinkit,playstore,5.0,"that app is good,I use this app almost every day nd I m very happy with their product,they provide genuine product with a good packaging,also the delivery speed is very fast,I m very happy with this app",False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_6aade65f-9565-4f60-b00e-b0cbaab71658_598,blinkit,playstore,1.0,there is no return policy,False,returns_support,none,unknown,unknown,[],none,none,unknown,negative
playstore_a0888d09-77fc-44e5-9c48-75e83f8e9e93_627,blinkit,playstore,5.0,so helpful for daily needs,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_3993d259-4e34-4d10-8af4-b95231105523_634,blinkit,playstore,1.0,"I ordered an exam writing pad and it was broken, I raised a refund or replacement concern and then further no follow up from the support team, they even closed the issue from their own side and I'm still stuck with this unusable sheet. TERRIBLE customer support service!!!",False,returns_support,none,unknown,unknown,['stationery_printouts'],none,none,unknown,negative
playstore_4295fb98-826a-4750-ae36-9d54bf9eaa06_652,blinkit,playstore,5.0,can there be anything better than blinkit in this world ?,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_78cf3a7d-ba23-4ac8-9311-2301153f204e_726,blinkit,playstore,5.0,nice! good app always order on time,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_142182a6-8256-41fc-8bf6-9e017ec913a0_763,blinkit,playstore,5.0,Trusted app please soppy now,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_5d727749-595b-462a-b505-ea9d9169a20c_773,blinkit,playstore,1.0,Low quality products. Everything I order is always covered in dust or has some or the other issue with them.,False,trust_quality,none,unknown,unknown,[],none,none,unknown,negative
playstore_d651fac0-7cc2-4109-9ca6-8df8f3031f01_782,blinkit,playstore,1.0,giving me duplicate or poor quality product,False,trust_quality,none,unknown,unknown,['other'],none,none,unknown,negative
playstore_1428b3b8-ee31-4121-b6a6-a1a937ea49a9_789,blinkit,playstore,5.0,very helpful for last minute needs,False,delivery_ops,none,urgent_need,low,[],"when I have a last-minute need, I want fast delivery, so I can get what I need urgently",none,unknown,positive
playstore_c367415b-b229-46fe-9be4-a5df08083ad3_828,blinkit,playstore,5.0,Good for emergency,False,habit_convenience,none,urgent_need,low,['other'],"when I have an urgent need, I want to use Blinkit, so I can resolve it quickly",none,unknown,positive
playstore_26c5c48d-53f1-448e-a407-5cd2e3697009_831,blinkit,playstore,5.0,"great app, can be used especially in emergency",False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_88b5cef7-36b2-41d8-ba53-3832dd9468a6_845,blinkit,playstore,5.0,"Blinkit is very convenient for quick grocery and daily essentials delivery. The app is easy to use, delivery is usually fast, and I can find most items I need. A great option when you need something urgently without going to the store.",False,other,none,urgent_need,low,"['grocery_staples', 'household_essentials']","when I need something urgently without going to the store, I want quick delivery of groceries and essentials, so I can save time and convenience",none,unknown,positive
playstore_38034a47-859d-433f-bdce-b3eb5d952baa_856,blinkit,playstore,5.0,it will nice quality products,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_d667222b-4c73-470a-9475-1fcb1abbd2f1_861,blinkit,playstore,5.0,"⭐⭐⭐⭐⭐ Blinkit is one of the best quick delivery apps. The app is easy to use, products are available at good prices, and deliveries are usually very fast. The delivery partners are polite, and customer support is helpful whenever needed. It saves a lot of time, especially during emergencies. Highly recommended",False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_06020d3d-5380-44c3-81b8-d6ed5d93ff0b_878,blinkit,playstore,5.0,best ever fast grocries and electronics things app .best ever app,False,other,none,unknown,unknown,"['grocery_staples', 'electronics_accessories']",none,none,unknown,positive
playstore_bf4cb989-71ad-4b48-9325-e957c6a2bfc6_897,blinkit,playstore,5.0,kindly delivered right now,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_e85f3970-3b91-4668-9702-ef7a1c42b9bf_906,blinkit,playstore,1.0,The customer service is very poor. I ordered an wired earphone and it showed that it will magnetically snap. The issue was there and the functions were not as specific to the details mentioned still customer care denied change and asked to contact brand. i recommend to use zepto and other quick commerce and not blinkit.,False,returns_support,none,search_intent,medium,['electronics_accessories'],none,zepto,unknown,negative
playstore_3818fbd2-f232-4c6b-b6d2-6addd614ad06_919,blinkit,playstore,5.0,"Great experience with the customer support team! I had to return an unstable laptop table, and the executive was very helpful in resolving the issue quickly, arranging a pickup, and processing a full refund back to my original payment source without any hassle. Super fast service.",False,returns_support,none,unknown,unknown,['electronics_accessories'],none,none,unknown,positive
playstore_9c9481a1-b1a4-4b91-9def-380e2a23319f_930,blinkit,playstore,5.0,very handy and useful at difficult times. options are plenty and all immediate daily and instant needs are satified,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_65bf4876-da0d-4e90-956c-99fbb513a261_937,blinkit,playstore,4.0,the app is good but it doesn't deliver to my locality but it delivers to the areas which is 4 km apart so I wanted this app in ranipatra my locality because it has a variety of products from snacks to daily essentials so I request you to please deliver in my area.,False,delivery_ops,none,unknown,unknown,"['snacks_beverages', 'grocery_staples']",none,none,unknown,neutral
playstore_c68f4014-fd35-4b37-8057-2ca1fa65724d_939,blinkit,playstore,5.0,original product,False,other,none,unknown,unknown,[],none,none,unknown,neutral
playstore_1f913adc-d714-4c52-9073-8cf625b52288_943,blinkit,playstore,5.0,Best app for emergency ♨️,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_cab15e73-aff0-4415-aebd-abc419731119_962,blinkit,playstore,1.0,"Worst app and the worst customer service. I received an incomplete item and shared all the necessary details, including the required photos and order information, but the customer support team did nothing to resolve my issue. Instead of taking responsibility, they simply refused to help. This was a very disappointing experience, and I expected much better service. I won't be using this app again, and I cannot recommend it to anyone.",False,returns_support,none,unknown,unknown,[],none,none,unknown,negative
playstore_6376baae-841f-4995-b79e-d765ea4b3182_1003,blinkit,playstore,5.0,It's true that Blinkit is everyone's last minute app😅 and a great time saver but also it has to improve with delaying skills like a request to blink it that please don't delay orders,False,delivery_ops,none,urgent_need,unknown,[],"when I need something urgently, I want Blinkit to deliver on time, so I can rely on it for last-minute needs.",none,autopilot_narrow,neutral
playstore_17a9cac7-e345-40fe-859d-9cfec1d7385a_1023,blinkit,playstore,5.0,no.1 quality,False,trust_quality,none,unknown,unknown,[],none,none,unknown,negative
playstore_e2cf4a4c-92da-47fb-9d6f-e16e9eb1dc45_1024,blinkit,playstore,1.0,very poor quality and not refund my money back 😭 and not taking blinkit assistant very bad assistant,False,returns_support,none,unknown,unknown,['other'],none,none,unknown,negative
playstore_a31f275e-00a1-498b-a791-80fdd6b06881_1046,blinkit,playstore,1.0,Two Amul lassi packs came sealed from top but tampered from bottom and empty.,False,trust_quality,none,unknown,low,['snacks_beverages'],none,none,unknown,negative
playstore_b8c81c4a-5705-4d7f-824c-b97e65ab3b91_1057,blinkit,playstore,1.0,very poor and pathetic .. u gave fault and used product and didn't replaced.. never by any electronic from blink it.. never ever. aur customer support wale to land hai ek number ke,True,returns_support,trust_quality,unknown,unknown,['electronics_accessories'],none,none,unknown,negative
playstore_50d50f90-329b-4a80-ba29-db4c782b7b35_1067,blinkit,playstore,1.0,There is no service to return the product. you have to keep the product despite it's not useful. Blinkit should start service of return the product if the product being delivered incorrect or defected product. I ordered a charger but it is not the same as I wanted. Blinkit denied to return the product because there is no such type of policy on purcha8the highly costly products. In today's era the world is in its transformation stage where you can't impose your disgusting policies.,False,returns_support,none,search_intent,medium,['electronics_accessories'],none,none,unknown,negative
playstore_8a9c050f-554f-4b0a-aaa7-443bfe352f5e_1093,blinkit,playstore,1.0,low quality products,False,trust_quality,none,unknown,unknown,[],none,none,unknown,negative
playstore_ac297dfb-83d3-478a-8133-08cf1081cd03_1095,blinkit,playstore,1.0,Blinkit has started scamming people hence giving a single rating hence uninstalling the app further. Also support team is just to waste your time.,False,trust_quality,none,unknown,unknown,[],none,none,unknown,negative
playstore_836b7990-2148-4870-8e02-ba5c23db5adf_1142,blinkit,playstore,1.0,"sabse bekaar hai, ek earbuds liya tha mene aur uspe 7 days replacement bhi tha, lekin ek shruti naam ki ladki nai replace karne ke liye mana kar diya. pls don't buy anything from blinkit.",False,returns_support,none,unknown,unknown,['electronics_accessories'],none,none,unknown,negative
playstore_f3b530b9-212b-4c14-806b-de16ae63c25f_1153,blinkit,playstore,1.0,"wrong item delivered and the store manager from katihar(bihar)branch said keep it as if he is gifting me,,, remove the items that you can't deliver and stop wasting time with the monologues",False,returns_support,none,unknown,unknown,['other'],none,none,unknown,negative
playstore_30cca867-f789-4e67-8c93-10def7de46f9_1196,blinkit,playstore,1.0,"poor experience, delivery is fast but print quality is poor and wastage is enormous",False,trust_quality,none,unknown,unknown,['stationery_printouts'],none,none,unknown,negative
playstore_c804d71e-ad10-454e-b2d6-d192b3b219ad_1205,blinkit,playstore,1.0,They send wrong item worst service of Blinkit. I will suggest not to buy from Blinkit,False,other,none,unknown,unknown,['other'],none,none,unknown,negative
playstore_6459b966-6436-4e61-9c31-188437071df3_1221,blinkit,playstore,5.0,very fast delivery and good quality product,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_0776faf3-9711-4c37-af49-39182dbaa938_1227,blinkit,playstore,3.0,"service unavailable for most part of the evening, everyday, defeats the very purpose of blinkit. Needs serious soul searching and proving up manpower",False,delivery_ops,none,unknown,unknown,[],none,none,unknown,negative
playstore_88afc46e-45ee-472c-b22c-05e98d1d0d98_1229,blinkit,playstore,1.0,Blinkit is very Unprofessional. please really had a bad experience with them. I ordered Mini Mogra Rice and then sent Mogra Delight. Even though we called the customer support team and they were really unprofessional not ready to help first. later my husband spoke so they initiated a replacement but still the wrong item was delivered. which made us very upset that they are not helping us. Later after talking with Ayushi she initiated a refund but only after the product is returned to them. Sorry,False,returns_support,none,replenishment,low,['grocery_staples'],none,none,unknown,negative
playstore_4fb2a804-1784-41d5-b9ea-4b57af0f87f2_1239,blinkit,playstore,4.0,the delivery is very fast and all products are not expired and good,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_4bdec419-febf-4ca8-a72d-94ce3ef46b7c_1255,blinkit,playstore,5.0,Best grocery shopping app,False,other,none,unknown,unknown,['grocery_staples'],none,none,unknown,positive
playstore_770c42e8-6a67-47f2-9726-60c282e966f6_1259,blinkit,playstore,1.0,Chefigo product sent expired date refused to change product or refund amount of product,False,returns_support,none,replenishment,unknown,['grocery_staples'],none,none,unknown,negative
playstore_d20b2795-2b77-4541-b9c2-b08459db5e3a_1268,blinkit,playstore,5.0,great experience with blinkit in my daily life,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_f676ae84-24df-4033-91c5-e29da1b8b1df_1272,blinkit,playstore,1.0,"⭐ 1 Star Extremely disappointed with Blinkit. I purchased a Longway grinder through Blinkit, but from the very first use it doesn’t grind properly, and a burning smell comes from the motor. This clearly indicates a defective product.When I raised a complaint, Blinkit simply told me to contact the vendor instead of taking responsibility or helping with a replacement. I bought the product from Blinkit, not directly from the manufacturer,Selling Defective Products and refusing to assist customer.",False,returns_support,none,unknown,unknown,['electronics_accessories'],none,none,unknown,negative
playstore_01d4bd15-2462-4eca-8c29-2f307b3b7d63_1280,blinkit,playstore,5.0,it's a very very veryyy nice app like you can buy anything from it like anything it's literally the best last min app for me because I'm a person who forgets things quickly so I sometime forget to buy gift for my friend or any family member so I can buy the gift from blinkit !,False,other,none,unknown,unknown,['other'],"when I forget to buy a gift for a friend or family member, I want to purchase it quickly, so I can remember in time.",none,unknown,positive
playstore_1f84cd91-38cd-4733-b2f4-bf5eeeababfd_1339,blinkit,playstore,1.0,really bad in my cart a toy was added i don't know if I did or it was a bug it's cost around 511 with my other stuff and when I tried to return it to my suprise that particular item(toy - and i don't have kids) comes into non refundable policy i tried to talk to customer care but they didn't provide any solution as they can't go against the policy i have been using blinkit for 4-5 years and this is very disappointing uninstalling it and will never going to use it.,False,returns_support,none,unknown,unknown,['baby_care'],none,none,unknown,negative
playstore_b5643ac4-a957-4076-81c0-35d59d2ef4a0_1357,blinkit,playstore,5.0,bed quality product,False,trust_quality,none,unknown,unknown,['home_kitchen'],none,none,unknown,negative
playstore_a6d04f1b-a788-4bab-937f-e816e7e22ee2_1372,blinkit,playstore,1.0,"They are thief, just innovative. The are using deceptive practice ""Bait & Switch"" - like compelling customers to add more items to basket in lieu of free gift - which they do not deliver and later just say 'sorry - item was not in stock'. and they have been doing it for a long time, yet it went unnoticed. Even after complaints they do not pay a heed to it.",False,returns_support,none,unknown,unknown,[],none,none,unknown,negative
playstore_215418a9-3359-45ee-a9c3-bd961da55e37_1386,blinkit,playstore,2.0,don't buy any electronic products product showing days return policy but this people not giving any help,True,returns_support,trust_quality,unknown,unknown,['electronics_accessories'],"when I need to return an electronic product, I want reliable support, so I can trust the return policy",none,unknown,negative
playstore_363208fa-1372-4f0f-99d1-ab4aabd8c4af_1403,blinkit,playstore,5.0,good quality 💯💯,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_444241d5-5d19-4af2-b0cf-99479352ccb4_1404,blinkit,playstore,1.0,Flipkart minutes is better then blinkit worst service ever they have many issues is returned order so don't use blinkit,False,returns_support,none,unknown,unknown,[],none,flipkart,unknown,negative
playstore_1b79119c-b167-4f4d-9846-8fab2384959a_1405,blinkit,playstore,4.0,ayo ts arrives quick as hell man ngl products are nice too bro I'll recommend ts,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_a5aada19-f771-4d5c-aa4b-58faadfd4b18_1412,blinkit,playstore,4.0,good quality products and delivered very soon.,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_372da2d9-2bcf-4217-915b-587b2857f9d6_1429,blinkit,playstore,5.0,"This is a very good app, we can order our daily groceries through this, it is very good and we don't have to go out and the groceries also arrive quickly..😁",False,habit_convenience,none,replenishment,low,['grocery_staples'],"when I need daily groceries, I want to order through the app, so I can avoid going out",none,autopilot_narrow,positive
playstore_42cb7bb3-0f08-4696-ade7-17e5f39a860f_1437,blinkit,playstore,5.0,Excellent quality and variety of products. Excellent delivery service too!!✨ Convenient and seamless Experience! thank you so much Blinkit.✨😊🙏,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_85c52e5a-6257-4db4-a929-af05db3c6b85_1453,blinkit,playstore,1.0,don't purchase any electronic product. I purchased a Bajaj fan ..during warranty support Bajaj is asking for a warranty card instead of an invoice copy but blinkit is not able to provide and disconnect my call as well. wasteless while purchasing electronic item,False,returns_support,none,unknown,unknown,['electronics_accessories'],none,none,unknown,negative
playstore_d8fd89de-21c7-4a59-833c-690557756a69_1509,blinkit,playstore,1.0,cant return the order and many times get destroy or damaged product and get low quality product,False,returns_support,none,unknown,unknown,['other'],none,none,unknown,negative
playstore_f6baa558-162f-46e5-9255-e5d7e99d3e16_1517,blinkit,playstore,5.0,best platform for daily essentials,False,other,none,unknown,unknown,['grocery_staples'],none,none,unknown,positive
playstore_72df7375-539c-4f7b-acde-1c45421ee3d1_1518,blinkit,playstore,5.0,Very economic with quality products. Timely delivery on door steps,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_0dc58e0b-501a-45ac-bab4-c5a4b2972561_1523,blinkit,playstore,1.0,"Worst app ever, no option to complain the replaced items which is still dirty, Item was replaced for providing expiry and dirty product, replaced item was in worst condition than previous yet I had no option to complain about it.",False,returns_support,none,unknown,unknown,['other'],none,none,unknown,negative
playstore_c1384605-9d34-4435-b73e-817933aff013_1550,blinkit,playstore,1.0,i ordered a remote car. there was no charging cable inside the box. when i was complaint to customer care they closed the chat. very bad experience don't order electronic devices,False,returns_support,none,unknown,unknown,['electronics_accessories'],none,none,unknown,negative
playstore_94cdb068-4234-4bb7-8cb4-cf7dcde9f8b2_1558,blinkit,playstore,4.0,since I've using this app from last 2 years but I never got a single gift thank you 😭,False,other,none,unknown,unknown,[],none,none,unknown,negative
playstore_e1f8a49f-ba69-4f51-8100-821b2008226d_1564,blinkit,playstore,5.0,best and good quality product,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_9a67b9c1-5034-4a65-9fc1-41e6999d6423_1570,blinkit,playstore,5.0,Always helpful for my last minute needs.,False,other,none,urgent_need,unknown,[],none,none,unknown,positive
playstore_69c90e68-7915-412d-95c5-481592a0ee19_1577,blinkit,playstore,1.0,"worst app seen , it will block your cod if you cancelled one order , they will not see that the customer only cancelled one order but he used and ordered from it many times don't use this app use other applications . 1 day passed after this review , they mail me that they will provide solutions as soon as possible but no solution was provided, on playstore they replied my review , but did nothing don't use this application. worst",False,returns_support,none,unknown,unknown,[],none,other,unknown,negative
playstore_ce89ad86-fc22-4599-bda4-c98b7be56931_1581,blinkit,playstore,5.0,"⭐⭐⭐⭐⭐ Excellent quality blanket! It was delivered on time, exactly as promised. The material is soft, warm, and feels very premium. The stitching and overall finish are excellent, and it provides great comfort. I'm really happy with my purchase and the entire shopping experience. Fast delivery, great quality, and good value for money. Highly recommended!",False,other,none,unknown,unknown,['home_kitchen'],none,none,unknown,positive
playstore_3f92757a-c5b3-4936-8132-ccd6c5995f7b_1590,blinkit,playstore,5.0,"last minute saver , love it",False,other,none,urgent_need,low,[],none,none,unknown,positive
playstore_5fb480f7-6147-4dc1-af3b-defae2e5f296_1591,blinkit,playstore,1.0,ridiculous...not giving any response or resolution ....not any replacement...do hell with this app....I will uninstall this useless thing,False,returns_support,none,unknown,unknown,[],none,none,unknown,negative
playstore_67fb4ece-c797-4640-bba7-7725d6f260d6_1597,blinkit,playstore,4.0,not full details,False,other,none,unknown,unknown,[],none,none,unknown,neutral
appstore_14323387917_4,blinkit,appstore,3.0,"Just a heads-up for everyone ordering chicken from Blinkit.

Today I ordered a 450 g pack of Godrej boneless chicken. I usually don’t check the weight, but this time I was making a recipe that required exactly 450 g, so I placed it on my kitchen weighing scale.

To my surprise, the pack weighed only 380 g, not 450 g.

I contacted Blinkit, and they promptly refunded me for the shortfall, which I appreciate. However, that’s not really the point. Most customers don’t weigh their groceries every time they receive an order, so discrepancies like this can easily go unnoticed.

My suggestion to everyone is to check the weight of chicken, fish, or any other items sold by weight whenever possible. Hopefully, this was just an isolated packing error, but it’s worth being aware of.",False,trust_quality,none,replenishment,low,['grocery_staples'],none,none,unknown,negative
appstore_14322747696_14,blinkit,appstore,1.0,U guys r doing fraud these days mera ek mil expired hua no refund mera ek Oder missing hai but u guys r not giving Any solution it’s almost one month now and n keep putting mails but no solution,False,returns_support,none,unknown,unknown,['other'],none,none,unknown,negative
appstore_14322385950_26,blinkit,appstore,1.0,I have ordered baking powered yesterday. They sent of a baki g powder which was expired. They made that box dirty with a paint kind of thing on the manufacturing and expiry date. I will soon switch to big basket . Not expected this kind of cheating.,False,trust_quality,none,replenishment,low,['grocery_staples'],none,bigbasket,unknown,negative
appstore_14322366757_28,blinkit,appstore,4.0,High quality products,False,other,none,unknown,unknown,[],none,none,unknown,positive
appstore_14322298414_32,blinkit,appstore,2.0,"When compare to others, is not much difference in discount",False,price_value,none,unknown,unknown,[],none,other,unknown,neutral
appstore_14321806320_43,blinkit,appstore,1.0,"Worst experience with their customer service and @Blinkit Team if you guys want your sales to increase then remove unwanted package charges 
So give free delivery along with the free package charges like how zepto and amazon now is giving for orders above 99/-₹",False,price_value,none,unknown,unknown,[],none,zepto,unknown,negative
appstore_14321421345_51,blinkit,appstore,5.0,Really it’s a last minute app. Best for groceries and other requirements instantly. Suppose you are in kitchen and missing something then just Blinkit and you will get it in 10 minutes. 👍,False,habit_convenience,none,urgent_need,low,"['grocery_staples', 'household_essentials']","when I am cooking and missing a kitchen ingredient, I want to order it instantly, so I can complete my meal without delay",none,autopilot_narrow,positive
appstore_14321288693_54,blinkit,appstore,1.0,My printout order which was supposed to be delivered in 26 minutes was cancelled when I called the customer support who told me that there is some operational issue and then it was cancelled after almost 1 hour after the order was placed.,False,delivery_ops,none,unknown,unknown,['stationery_printouts'],none,none,unknown,negative
